,open,close,high,low,volume,money
2018-03-06,6035.8,6111.8,6116.0,6025.2,10569.0,12841201120.0
2018-03-07,6095.0,6031.0,6106.0,6023.6,10792.0,13106372720.0
2018-03-08,6049.0,6095.4,6107.6,6039.0,9471.0,11511405000.0
2018-03-09,6108.8,6198.8,6207.8,6096.4,10397.0,12799387920.0
2018-03-12,6233.0,6275.4,6295.8,6225.6,10294.0,12901279440.0
2018-03-13,6274.6,6241.0,6284.6,6233.2,9979.0,12492871960.0
2018-03-14,6234.4,6177.0,6253.8,6157.4,10245.0,12725167080.0
2018-03-15,6165.0,6172.0,6214.0,6101.0,9762.0,12021131120.0
2018-03-16,6192.0,6174.2,6207.2,6165.8,5062.0,6260340760.0
2018-03-19,6088.0,6080.4,6158.6,6044.2,10304.0,12578941480.0
2018-03-20,6050.0,6103.2,6138.4,6022.6,9947.0,12101205360.0
2018-03-21,6123.4,6040.0,6185.2,6028.0,11123.0,13625525520.0
2018-03-22,6075.0,6037.4,6097.0,6000.2,11465.0,13878701080.0
2018-03-23,5871.0,5665.6,5930.0,5630.2,14660.0,17009353200.0
2018-03-26,5681.0,5846.0,5855.8,5632.0,12595.0,14493253160.0
2018-03-27,5907.0,6005.6,6013.4,5899.6,12593.0,15015272920.0
2018-03-28,5934.0,5915.2,5977.4,5891.4,12729.0,15115288840.0
2018-03-29,5951.2,6012.0,6018.8,5890.2,12209.0,14528403360.0
2018-03-30,6022.0,6101.0,6105.0,6017.4,10296.0,12472439360.0
2018-04-02,6129.8,6075.0,6157.8,6060.6,10232.0,12506690720.0
2018-04-03,6001.0,6023.4,6048.8,5953.0,10982.0,13177147200.0
2018-04-04,6055.0,5976.0,6081.8,5950.2,10466.0,12598782880.0
2018-04-09,5986.4,5981.8,6049.0,5919.2,10941.0,13112229200.0
2018-04-10,6000.0,6048.0,6050.0,5950.6,12088.0,14504757840.0
2018-04-11,6078.6,6055.0,6098.4,6047.4,9679.0,11753948280.0
2018-04-12,6047.4,6022.8,6083.8,6003.2,9205.0,11127404040.0
2018-04-13,6060.2,6010.0,6080.0,5982.6,10134.0,12217047400.0
2018-04-16,6018.8,5989.0,6052.2,5934.0,10370.0,12437450680.0
2018-04-17,6008.8,5888.0,6028.8,5856.4,12000.0,14259454000.0
2018-04-18,5936.6,5951.0,5996.2,5812.2,13007.0,15352914120.0
2018-04-19,5965.0,6000.0,6064.2,5960.8,9371.0,11264538840.0
2018-04-20,5987.0,5908.0,6000.0,5892.4,4497.0,5356523520.0
2018-04-23,5852.2,5779.2,5881.6,5692.0,11262.0,13036479600.0
2018-04-24,5781.4,5913.2,5935.8,5781.4,11338.0,13331301200.0
2018-04-25,5895.0,5913.0,5933.0,5882.2,8883.0,10499388320.0
2018-04-26,5908.0,5806.4,5928.4,5796.0,10446.0,12224165840.0
2018-04-27,5836.0,5852.2,5855.6,5769.2,10844.0,12632452800.0
2018-05-02,5860.2,5827.8,5887.4,5781.0,9384.0,10935509280.0
2018-05-03,5815.0,5892.4,5919.4,5744.0,11627.0,13549496080.0
2018-05-04,5887.2,5881.0,5921.8,5861.4,9115.0,10737591720.0
2018-05-07,5911.0,6001.0,6024.6,5891.2,9567.0,11433402160.0
2018-05-08,6018.0,6028.6,6033.8,5992.4,8181.0,9845063400.0
2018-05-09,6027.6,6011.0,6041.8,5983.0,7028.0,8448700040.0
2018-05-10,6020.0,6036.4,6054.0,5973.8,8003.0,9630668600.0
2018-05-11,6039.6,5993.0,6047.4,5980.6,8459.0,10161801600.0
2018-05-14,5999.0,5964.0,6020.2,5939.8,8415.0,10073607280.0
2018-05-15,5976.6,6020.0,6026.2,5948.8,9470.0,11339912880.0
2018-05-16,6018.6,6012.6,6046.8,5993.8,9047.0,10890498240.0
2018-05-17,5966.0,5925.0,5978.6,5916.0,8776.0,10426962040.0
2018-05-18,5925.0,5975.2,5980.0,5884.6,11485.0,13628568800.0
2018-05-21,6015.0,6027.4,6069.0,6013.6,10421.0,12597913000.0
2018-05-22,6028.2,6066.0,6072.8,6020.2,8316.0,10050539640.0
2018-05-23,6060.0,5992.4,6060.0,5975.2,10502.0,12625049480.0
